id_mcc,mcc_description,uuid
4214,"Motor freight carriers and trucking — local and long distance, moving and storage companies and local delivery",01ff87aa-999a-4d35-970a-72fd3806984b
5732,Electronics shops,02aacb91-a814-45c0-bc36-9559ca1c90f9
5932,"Antique Shops – Sales, Repairs, and Restoration Services",03fe80b8-ff44-410b-a8e8-b6ac26ed1074
7531,Automotive Body Repair Shops,04ad9f4b-5692-4ceb-92db-9df36c054a09
7531,Automotive Body Repair Shops,063f2ace-06ff-410a-b739-ed4177966e65
8062,Hospitals,082ad78f-5ee9-4f91-91d8-ab1cc6098dbf
5815,"Digital Goods Media – Books, Movies, Music",0a4496ce-953a-4d75-bd5b-2015adca01d1
5499,Miscellaneous food shops — convenience and speciality retail outlets,0a581f53-8cb8-4bac-b492-28701420e373
5651,Family clothing shops,0bab91df-6a78-4013-a182-dfd4b30628dd
4784,Tolls and bridge fees,0cbdb4f3-a669-431c-82f6-5e3b1e2cc6a2
5193,"Florists’ supplies, nursery stock and flowers",0cf88f43-b6ef-421b-a395-00a8a072c5d9
7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only),0d8c6668-9530-49d0-b61a-d14a2dc0be56
7802,Government-Licensed Horse/Dog Racing (US Region only),0da56a0b-23a2-4c09-ab9b-27ee8c6c6d17
5310,Discount shops,0eefdc7b-1750-416c-9aa2-bd63c0289605
5814,Fast food restaurants,109020e6-f701-4eea-8d3e-ddbe67404cef
5932,"Antique Shops – Sales, Repairs, and Restoration Services",16c0335b-17fa-4b60-8afe-3f7084cab2ac
5813,"Drinking places (alcoholic beverages) — bars, taverns, night-clubs, cocktail lounges and discothèques",17abb9e2-f9c9-4c7b-8165-c6f79ed46b2e
8111,Legal services and attorneys,1888fcd3-2a77-4cbb-8932-314c04cc80a0
5921,"Package shops — beer, wine and liquor",1adc0867-2379-437f-b1bb-15b0ab6db417
7538,Automotive Service Shops (Non-Dealer),1b197f2f-80ee-491f-a93f-8f6a19a81a3d
5621,Women’s ready-to-wear shops,1ec6f073-af30-418f-8caa-0fe00778e1b2
8062,Hospitals,1f8b2eff-57c8-4495-b891-e7b76350910a
5722,Household appliance shops,20b57ac0-1df9-4e6b-8692-fec8c4ed383e
5722,Household appliance shops,23461adc-b15e-44b8-969c-87bd80caaa3b
7210,"Laundry, cleaning and garment services",25e27632-88b3-46ac-b710-33bbcf720d7c
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, and Wagers at Race Tracks",2a8a8b09-8993-46f7-9e44-4c4ef3cdfea1
7011,"Lodging — hotels, motels and resorts",2b2a0aaf-d1dd-49a2-a68f-9ad1c338a44d
5815,"Digital Goods Media – Books, Movies, Music",2c6ec0bf-8fd8-42e0-8322-5b9cf727f863
4899,Cable and other pay television services,2c835609-9e3a-48d5-8010-b799a524c4e4
5411,Groceries and supermarkets,2d615880-ad9f-46cb-bb23-86312d12b653
5541,Service stations (with or without ancillary services),305f20a8-1ba2-4472-8f77-cb17cff7e86d
5813,"Drinking places (alcoholic beverages) — bars, taverns, night-clubs, cocktail lounges and discothèques",30a49163-bddf-4c5c-95b2-061a6f9b00f2
8021,Dentists and orthodontists,326c470f-f891-4148-a4a2-243c34bc64e6
5094,"Precious stones and metals, watches and jewellery",33a117dd-7907-4ab7-b9ed-873b450d591c
4899,Cable and other pay television services,3467a245-4219-41fb-8892-2af610556416
5655,Sports and riding apparel shops,35b73830-7179-41fd-867b-6c4b9492d8a8
4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes",3644de1b-9973-4c84-83f7-12c874c58866
7922,Theatrical producers (except motion pictures) and ticket agencies,38707904-c011-4f40-96b6-391605f85636
7538,Automotive Service Shops (Non-Dealer),3963d001-7bfd-4ae1-bc69-ed349729d061
5310,Discount shops,3da5fa0d-a77c-4ee4-8bce-e8f6fbe367d4
7995,"Betting, including Lottery Tickets, Casino Gaming Chips, Off-Track Betting, and Wagers at Race Tracks",3e521bb1-ca24-4ed7-9f99-e099c79e8264
4829,Wire transfers and money orders,3f19a4ab-0ba9-4846-818f-04daa7e73e0b
7230,Barber and Beauty Shops,45a4775d-3b2f-4fa2-a18f-309266a2a15e
8043,"Opticians, optical goods and eyeglasses",4c706c48-d4d6-4090-ae89-9de628a253ea
5732,Electronics shops,4c7ae0db-e7c7-4542-9d5a-67930ce7bfae
4829,Wire transfers and money orders,4deffb0d-fa47-4710-b38b-6624fe0d898d
5300,Wholesale clubs,4f306e1b-50ea-43de-884c-9e9491928551
5499,Miscellaneous food shops — convenience and speciality retail outlets,4f7db60e-2a58-456b-8424-762cfa01ab7c
8041,Chiropractors,5027cac4-3723-46b1-8b9f-fe330625890b
5300,Wholesale clubs,50a2e6d3-7604-45b3-8f64-390afd8c025f
5621,Women’s ready-to-wear shops,52ce4e8d-c5b4-4e0e-832d-b25015f688f7
8099,Medical services and health practitioners — not elsewhere classified,537f068f-537a-4ac2-8bc9-726102ac732e
7542,Car washes,54a48ca6-7f40-4203-aad2-a0e840f7c3b8
5816,Digital Goods – Games,55a410b2-4fbb-4419-b16a-22c85b3f461d
5912,Drug stores and pharmacies,593a862b-6ec4-4a36-876b-4b3b7232d02b
5912,Drug stores and pharmacies,5ab3ff87-8099-4df0-8099-10de01232706
5816,Digital Goods – Games,5ae1184d-757f-4541-93f3-07232e29dc3a
8099,Medical services and health practitioners — not elsewhere classified,5de2aa3f-54dd-4463-ab91-64eb1c3892f9
7276,Tax preparation services,5e0a83f0-e165-47ad-a6a1-8266db4cd407
7011,"Lodging — hotels, motels and resorts",608a7dd8-6b1c-49c3-aa18-43f2631062bd
4900,"Utilities — electric, gas, water and sanitary",60abbb48-ad11-45d5-9369-a92c09aa1675
9402,Postal services — government only,634bf80b-2e08-4b3c-8c7a-62acd03e8dab
5733,"Music shops — musical instruments, pianos and sheet music",65a407ba-7737-4b0c-8d38-b2f9840cd0d6
7832,Motion picture theatres,65a70211-1b18-44db-ac03-0c42226fc71a
4411,Steamships and cruise lines,6bd0f487-7372-4f8f-8943-a948a2efc2cc
5251,Hardware shops,6d056696-a9eb-431e-9559-974eff3191c4
